Experiment subset: sand-gravel-mud (SGM) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.

						
Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. "SD" denotes the						
standard deviation from the mean.						

t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
2.56	7.71E-05	0.000456273	-0.000280891	0.006797457	0.002913035	0.014023176
2.57	-0.000107951	0.000262585	0.001223787	0.005990797	0.006449541	0.010418016
2.58	3.80E-06	0.000264354	-0.000714176	0.003391132	-0.006053656	0.00514783
2.59	0.000148114	0.000273108	-0.000679313	0.006499299	0.007179169	0.027962452
2.6	9.70E-05	0.000373344	0.004606187	0.004913497	0.004735012	0.012118448
2.61	7.99E-05	0.000337676	0.000979056	0.00597703	-0.001823621	0.020009506
2.62	-5.99E-05	0.000299504	0.000897874	0.007179916	0.000602779	0.012419542
2.63	2.01E-06	0.000218366	-0.000827217	0.007120798	0.009843995	0.020708569
2.64	-3.30E-05	0.000139169	0.001095654	0.003521826	0.00687825	0.016022673
2.65	7.66E-05	0.000207491	-0.001757222	0.003235161	0.000372037	0.014602263
2.66	0.000110592	0.00017043	0.001163755	0.006572122	0.009641203	0.01277707
2.67	0.000106841	0.000418183	0.000484507	0.005705926	0.006914466	0.026492742
2.68	1.63E-05	0.000291949	-0.001730008	0.003690676	0.008600831	0.015333396
2.69	-7.93E-05	0.000190649	5.10E-05	0.004847836	0.008039138	0.012287774
2.7	-0.000182609	0.000371192	-0.00255935	0.004020678	0.003497595	0.020531053
2.71	-5.39E-05	0.000338924	-0.001107419	0.006493085	0.016880442	0.014954365
2.72	3.47E-05	0.00013559	-0.000186262	0.007586501	0.015352647	0.019194766
2.73	0.000182002	0.000239688	0.004066379	0.005762207	0.007159963	0.013077319
2.74	0.000175265	0.000246779	-0.000290978	0.008818263	0.010631591	0.01822138
2.75	-7.54E-05	0.000249205	0.006441646	0.008286539	0.012214698	0.021732302
2.76	0.000120121	0.000484455	0.001540981	0.003560715	-0.002377029	0.011482472
2.77	0.000111979	0.000227194	-0.001810763	0.009774771	-0.004955113	0.024097571
2.78	3.55E-05	0.00024162	-0.000722139	0.008713026	0.003908662	0.014629916
2.79	-0.000118544	0.000308394	0.000961635	0.006249883	-0.007212751	0.025654662
2.8	3.85E-05	0.000363646	-0.002994268	0.004424552	-0.001976543	0.011197845
2.81	0.00033252	0.000610624	-0.001031255	0.003631062	-0.00744356	0.013262512
2.82	-1.18E-05	0.000313089	-0.004447907	0.003082325	-0.003788498	0.009322885
2.83	2.29E-05	0.000394756	0.001602037	0.008447133	-0.000873387	0.008167366
