Experiment subset: sand-gravel (SG) on rough bed
Data tables for cross sections at x= 32, 66, and 90 m are listed in succession below,
separated by blank lines and headers.				


Cross section: x = 32 m						
Column Headings: t is the time since gate release. h is the mean flow thickness. sigma is the mean						
basal total normal stress and pbed is the mean basal pore-fluid pressure. ""SD"" denotes the 						
standard deviation from the mean. 						
						
t(s)	h(m)		SD h(m)		sigma(kPa)	SD sigma(kPa)	pbed(kPa)	SD pbed(kPa)
1.33	5.8912E-05	0.000271593	-0.000932733	0.003884191	0.000308407	0.020742379
1.34	-4.63015E-05	0.000303133	0.000973108	0.008802958	0.003505051	0.016255936
1.35	-1.99538E-05	0.000309275	0.002721304	0.006831864	-0.001104743	0.023195151
1.36	-3.2608E-07	0.000195188	0.003519747	0.009138596	0.008951784	0.018767746
1.37	-1.31202E-05	0.000271903	-0.000107624	0.004111425	-0.000709487	0.018635947
1.38	-1.31792E-05	0.000249668	0.001174278	0.003587192	0.000719392	0.013354888
1.39	-6.76755E-05	0.000406743	-0.001369572	0.005922609	-0.005946432	0.025305023
1.4	-0.000124932	0.000265691	-0.002946458	0.003350245	-0.012990918	0.039126881
1.41	-0.000175007	0.00022722	-0.001991912	0.006258956	0.001063941	0.012209467
1.42	-0.000117832	0.000353731	0.005165435	0.008381681	0.002289379	0.026173202
1.43	-7.99193E-05	0.000250294	0.001128387	0.00869373	0.002699033	0.017821444
1.44	-1.75626E-05	0.000311825	0.002717295	0.006831275	0.002083995	0.023583335
1.45	-5.03346E-05	0.000219675	0.000532154	0.008209994	0.007827787	0.025444557
1.46	3.62922E-05	0.000129532	0.00214767	0.007280722	-0.003681797	0.026023412
1.47	4.3571E-05	0.000392896	1.76658E-05	0.00725888	-0.006243241	0.024961864
1.48	-5.12244E-05	0.000238863	0.003469249	0.00620988	-0.010999743	0.029948129
1.49	-9.58813E-05	0.000268994	0.00204241	0.008991398	-0.019084323	0.041930459
1.5	-4.88991E-05	0.000215239	0.001630128	0.00685183	-0.006011779	0.014868856
1.51	-5.64368E-05	0.000263467	-0.000370501	0.00641817	-0.007398318	0.017781935
1.52	0.000120202	0.000186646	-3.97826E-05	0.005543676	-0.004884447	0.013178009
1.53	7.78128E-05	0.000234146	-0.00198474	0.004960552	-0.000135919	0.015387236
1.54	-7.98834E-05	0.000211169	-0.003876227	0.005738215	0.013816327	0.045437812
1.55	-4.24423E-05	0.000218807	-0.00149742	0.006041602	-0.011473266	0.033265438
1.56	-8.00913E-07	0.000296041	-0.004052583	0.007107119	-0.008792022	0.014112157
1.57	3.5368E-06	0.000638164	-0.003147163	0.005151913	-0.009880288	0.021940573
1.58	1.13344E-05	0.000346437	-0.001828748	0.004818046	-0.006133839	0.030261793
1.59	0.000109864	0.000774178	0.002453934	0.007519742	0.000951487	0.014924317
1.6	-5.66193E-05	0.000371677	0.002349193	0.006335976	0.002447653	0.024253061
1.61	-9.6525E-05	0.000321272	0.002258749	0.008515191	-0.002586342	0.013556306
1.62	-0.000134411	0.000267521	0.004415841	0.009766525	-0.001323987	0.006416271
1.63	0.00010549	0.000250917	-0.000332943	0.007704594	0.005489472	0.026649908
1.64	8.09821E-05	0.000210522	-0.004837014	0.018724905	-0.014693927	0.025422347
1.65	9.51776E-05	0.00025829	-0.004096104	0.010234087	-0.016221428	0.037144885
1.66	4.87189E-05	0.000298747	-0.000205872	0.006109779	-0.005805153	0.014429576
1.67	5.16328E-05	0.000278975	-0.003101912	0.006988342	0.006218056	0.02192864
1.68	6.29679E-05	0.000297638	0.004516987	0.011890514	-0.01607575	0.041438725
1.69	-8.79188E-06	0.000243203	0.00070855	0.004628823	-0.005910684	0.014221286
1.7	-0.000163259	0.000441015	-0.002526639	0.008426075	-0.014057752	0.030632879
1.71	-0.000170211	0.000334761	0.000229935	0.003402336	-0.002019234	0.008582072
1.72	0.000338993	0.000739565	0.00309465	0.007354737	-0.005334039	0.013293774
1.73	-6.90828E-06	0.000329894	0.002155886	0.007834518	0.007017493	0.014816138
1.74	-1.59231E-05	0.000195143	0.001212139	0.00964006	-0.005761514	0.013494486
1.75	-0.000166493	0.000162356	0.00252471	0.008400058	-0.004660896	0.014934558
1.76	-0.000243506	0.000241038	0.001545771	0.011133163	-0.006060517	0.026958265
1.77	-0.000124329	0.000253382	0.001935579	0.011138752	-0.013161963	0.048037486
1.78	-5.04659E-05	0.000205901	0.001755576	0.009756173	0.003509513	0.017774279
1.79	3.85087E-06	0.000297359	0.005444387	0.010400899	-0.011429354	0.018633557
1.8	4.11999E-07	0.000206832	-0.003218247	0.011550492	-0.004998112	0.022459977
1.81	-0.000142724	0.000139019	0.000825804	0.007905532	-0.014709559	0.015634359
1.82	-0.000247289	0.000464936	0.001335059	0.005594454	0.006964856	0.032336394
1.83	-4.35253E-05	0.000343863	0.001888093	0.004786918	-0.008252626	0.018574213
1.84	-5.84812E-06	0.000219345	0.002735274	0.006458132	-0.018689457	0.048903227
1.85	-1.10426E-05	0.000198461	0.002527165	0.005750181	-0.014758326	0.032194859
1.86	0.000166008	0.000593829	0.000392135	0.005290749	-0.00576766	0.013805062
1.87	0.000158343	0.000296742	0.003001302	0.009683577	0.004612569	0.020202607
1.88	1.42286E-05	0.000234585	0.003145849	0.01017369	-0.003270314	0.022157474
1.89	-6.31837E-05	0.000191639	0.001335677	0.012664896	-0.002504564	0.016844966
1.9	-0.000186175	0.000300412	-0.001471906	0.009085907	-0.010907863	0.03452182
1.91	-4.7628E-05	0.000220455	-0.00284232	0.010568773	-0.005631603	0.010959598
1.92	1.78833E-05	0.000198267	0.001233179	0.010537085	-0.008155791	0.013494373
1.93	4.2482E-05	0.000206003	0.000857208	0.004808553	0.007400199	0.032705254
1.94	-0.00019292	0.000398646	0.00219383	0.003447644	0.003528468	0.021613406
1.95	8.85446E-06	0.000397992	-0.000138425	0.006612398	-0.008888135	0.011454631
1.96	2.81267E-05	0.000175891	-0.000894643	0.004210527	-0.006086961	0.021026378
1.97	-0.000102614	0.000211166	0.001669952	0.005596472	-0.013136452	0.024984888
1.98	-0.000126055	0.000151279	-0.001395926	0.008747318	0.001246593	0.00815526
1.99	-0.000106515	0.000183107	-0.000298002	0.006620223	-0.00659862	0.018115955
2	0.0001417	0.000325591	0.002603207	0.004891427	0.003652068	0.02896651
2.01	9.45366E-05	0.000260272	0.00223947	0.012968068	0.003426646	0.012632903
2.02	2.11867E-05	0.00017126	0.003025197	0.00912874	0.014137597	0.032885308
2.03	-1.38717E-05	0.000207929	0.002987949	0.009303319	-0.004952914	0.01920937
2.04	-2.07856E-05	0.000210423	-0.002437982	0.013763771	-0.016507381	0.044519614
2.05	9.50651E-05	0.000396102	-0.003737443	0.00878585	-0.001368829	0.02125595
2.06	4.63731E-05	0.000210065	-0.001618194	0.006460072	-0.012443709	0.020230848
2.07	1.61013E-05	0.000195096	0.000808358	0.00377532	0.004072608	0.011706581
2.08	-0.000149582	0.000180171	0.000766039	0.005325341	-0.006862964	0.015093235
2.09	-3.00216E-05	0.000200296	0.005126022	0.004706421	-0.007975297	0.016572976
2.1	-2.06229E-05	0.000219031	0.000782896	0.006248183	-0.003076682	0.016215557
2.11	3.87721E-05	0.000309552	-0.000475539	0.004836466	-0.003804269	0.015272514
2.12	-4.80125E-05	0.000279206	-0.000567523	0.005049866	-0.008371155	0.033544465
2.13	-0.000112606	0.00038119	0.000632849	0.006472625	-0.011853685	0.034737069
2.14	-5.83942E-05	0.000273362	0.005125677	0.017376173	-0.000649013	0.01648535
2.15	-8.27617E-06	0.000182696	0.003026469	0.010388264	-0.001638306	0.011862824
2.16	-8.0874E-05	0.000207455	0.002216268	0.008485512	-0.005880699	0.008368695
2.17	-3.11463E-05	0.000251714	0.004940561	0.007544866	-0.005400563	0.008999947
2.18	-9.27346E-05	0.000148879	0.002404421	0.00775868	0.003100725	0.016992027
2.19	-2.02009E-05	0.000251371	0.001541194	0.008553477	-0.002496124	0.016949003
2.2	-3.05413E-06	0.000347515	-0.000597197	0.005875435	-0.016150041	0.021601495
2.21	-0.000106595	0.000175764	-0.005071361	0.013283956	-0.026781349	0.043216008
2.22	-7.97471E-05	0.00026142	-0.000987564	0.006067988	-0.006303813	0.013309344
2.23	-9.70443E-05	0.000263019	0.000738388	0.004488376	-0.015982115	0.02778667
2.24	1.77553E-05	0.000119369	-0.00045205	0.005288665	-0.001908356	0.018316367
2.25	-6.20682E-05	0.000373031	0.00101294	0.003939413	-0.010015406	0.022929625
2.26	-1.25939E-05	0.000213803	-0.004202201	0.007977823	-0.005393773	0.015653525
2.27	-6.91074E-05	0.000173009	-0.003383822	0.008916572	-0.002886004	0.011897285
2.28	-0.000198094	0.000265918	-0.001459468	0.009421646	-0.006233822	0.016134268
2.29	-0.000144447	0.000257255	-0.001278645	0.007349408	-0.013872315	0.02462444
2.3	9.75002E-05	0.000187945	0.004613303	0.009495612	-0.011465632	0.02383518
2.31	0.000108737	0.000266973	0.001963102	0.005896021	0.000282476	0.020155313
2.32	-6.12988E-05	0.000275613	0.004450697	0.006827906	0.002131102	0.012257302
2.33	2.27623E-05	0.000194797	0.002820502	0.006747788	0.001171413	0.013249732
2.34	6.38982E-05	0.000125835	0.000617674	0.002634205	-0.011581854	0.015737566
2.35	0.000151099	0.000300136	0.002074021	0.006346962	-0.014286766	0.022568149
2.36	4.0187E-05	0.000277622	-0.001134091	0.00742122	-0.017789305	0.027440641
2.37	2.20669E-05	0.000193802	-0.000124984	0.004972478	0.00106427	0.013685419
2.38	2.82367E-05	0.000325532	-0.001283066	0.006773544	-0.005210755	0.022725361
2.39	0.000104762	0.000201228	-0.001927838	0.006941267	0.000322615	0.024211506
2.4	-1.33202E-05	0.000194161	-0.005055545	0.007404771	0.006889517	0.036104609
